iter	Logloss
0	0.493821856
1	0.383670737
2	0.3153458887
3	0.242578298
4	0.2031544833
5	0.1777064046
6	0.1574210718
7	0.1412043217
8	0.1272384479
9	0.1180383316
10	0.1101471966
11	0.1023139512
12	0.09252534294
13	0.09003219779
14	0.08645880476
15	0.0818789705
16	0.07673014125
17	0.07518768746
18	0.07269091968
19	0.06963359592
20	0.06849265561
21	0.06723395445
22	0.06570747323
23	0.06421401909
24	0.0624946872
25	0.06166639661
26	0.06047282935
27	0.05971656741
28	0.05912603923
29	0.05843540018
30	0.05765112672
31	0.05697609105
32	0.05605664863
33	0.05529649552
34	0.05471955565
35	0.05407645466
36	0.05333879886
37	0.05272034405
38	0.05246581333
39	0.05184400375
40	0.0514679782
41	0.05078080689
42	0.05052235565
43	0.05016216476
44	0.04980538174
45	0.04947690872
46	0.04907528433
47	0.04860691986
48	0.04816656436
49	0.04802892221
50	0.04776799541
51	0.04747450328
52	0.04727715951
53	0.04698425135
54	0.04675340258
55	0.04661196485
56	0.04619022458
57	0.04598009545
58	0.04563778115
59	0.04544941739
60	0.04509622323
61	0.04487004902
62	0.04458889461
63	0.04438634598
64	0.04408312513
65	0.04382929175
66	0.04337462587
67	0.04323134869
68	0.04288783693
69	0.04269970431
70	0.0424682876
71	0.04226756783
72	0.04186486938
73	0.04167792905
74	0.04156449496
75	0.04130999834
76	0.04116285658
77	0.04093442068
78	0.04074095199
79	0.04054692017
80	0.04022777126
81	0.03996559633
82	0.03961476143
83	0.03935851655
84	0.03901739128
85	0.03884039011
86	0.03875343381
87	0.03853917112
88	0.0384715583
89	0.03822350594
90	0.03808782673
91	0.03795763938
92	0.03768789572
93	0.03741466468
94	0.03729173437
95	0.03715493409
96	0.03694854749
97	0.03685892427
98	0.03660707959
99	0.03654211525
